INSTNM,ZIP,LATITUDE,LONGITUDE,SATVR75
Dominican University,60305,41.902834,-87.821872,470
Rush University,60612,41.874911,-87.667498,NULL
Saint Francis Medical Center College of Nursing,61603-3783,40.70028,-89.590993,NULL
University of St Francis,60435-6188,41.533341,-88.096368,520
St. John's College-Department of Nursing,62702,39.807318,-89.645795,NULL
Saint Xavier University,60655,41.707763,-87.713507,527
University of Illinois at Springfield,62703-5407,39.729862,-89.614917,560
Sauk Valley Community College,61021-9112,41.817659,-89.596483,NULL
Shawnee Community College,62992,37.271027,-89.160537,NULL
Shimer College,60616,41.83217,-87.62713,NULL
Saint Augustine College,60640-3593,41.972414,-87.662806,NULL
University of Saint Mary of the Lake,60060-1174,42.281376,-88.00048,NULL
Southeastern Illinois College,62946,37.751271,-88.435463,NULL
National Latino Education Institute,60609-2205,41.822756,-87.675917,NULL
Spertus College,60605,41.872741,-87.624634,NULL
Spoon River College,61520-8622,40.527896,-90.072216,NULL
Saint Anthony College of Nursing,61108-2468,42.263191,-89.108339,NULL
Educators of Beauty College of Cosmetology-Sterling,61081-3611,41.788153,-89.692686,NULL
Southern Illinois University-Carbondale,62901-4512,37.713239,-89.218724,630
Southern Illinois University-Edwardsville,62026-1259,38.793949,-89.997779,600
Taylor Business Institute,60606,41.885919,-87.624794,NULL
Telshe Yeshiva-Chicago,60625,41.975289,-87.716912,NULL
South Suburban College,60473-1200,41.606427,-87.619123,NULL
Tri-County Beauty Academy,62056,39.175681,-89.655411,NULL
Trinity Christian College,60463-0929,41.669189,-87.784157,560
Trinity International University-Illinois,60015-1283,42.197909,-87.882722,620
Triton College,60171-1995,41.916082,-87.841056,NULL
University of Spa & Cosmetology Arts,62704,39.76672,-89.710839,NULL
VanderCook College of Music,60616-3731,41.836833,-87.629138,577
Waubonsee Community College,60554-9454,41.798044,-88.458796,NULL
Resurrection University,60622,41.90748,-87.685291,NULL
Western Illinois University,61455,40.465621,-90.685235,NULL
Wheaton College,60187-5593,41.870943,-88.09681,710
William Rainey Harper College,60067-7398,42.081356,-88.069391,NULL
Ancilla College,46513-0001,41.337978,-86.445448,NULL
Anderson University,46012-3495,40.112167,-85.662292,570
Apex Academy of Hair Design Inc,46016-1158,40.112113,-85.680769,NULL
Ball State University,47306,40.198942,-85.408863,600
Bethel College-Indiana,46545-5591,41.677671,-86.191642,570
Butler University,46208,39.840662,-86.171791,630
Calumet College of Saint Joseph,46394,41.670925,-87.492987,NULL
Christian Theological Seminary,46208-3301,39.833199,-86.177759,NULL
College of Court Reporting Inc,46342,41.521248,-87.260287,NULL
Concordia Theological Seminary,46825-4996,41.139365,-85.109752,NULL
Tricoci University of Beauty Culture-Highland,46322,41.555885,-87.467018,NULL
DePauw University,46135-1772,39.63953,-86.863556,640
Don Roberts School of Hair Design,46375,41.569292,-87.508236,NULL
Don Roberts Beauty School,46385,41.472458,-87.077998,NULL
Earlham College,47374-4095,39.822278,-84.911464,NULL
University of Evansville,47722,37.969955,-87.531963,610
Franklin College,46131-2623,39.478298,-86.047182,560
Goshen College,46526-4794,41.564254,-85.826766,620
Grace College and Theological Seminary,46590-1274,41.226473,-85.813931,610
Hair Fashions By Kaye Beauty College-Noblesville,46060-0000,40.03632,-86.012158,NULL
Hair Fashions By Kaye Beauty College-Indianapolis,46250,39.905397,-86.058688,NULL
Hanover College,47243,38.712488,-85.461086,590
J Michael Harrold Beauty Academy,47807,39.470177,-87.383296,NULL
Holy Cross College,46556-0308,41.699982,-86.253668,540
PJ's College of Cosmetology-Clarksville,47129,38.313346,-85.770179,NULL
Huntington University,46750,40.89907,-85.499624,568
Ivy Tech Community College,46208-5752,39.803753,-86.158213,NULL
Indiana University-Purdue University-Fort Wayne,46805-1499,41.115418,-85.111747,550
Indiana University-Purdue University-Indianapolis,46202-5143,39.772948,-86.172217,550
Harrison College-Indianapolis,46204-2611,39.766871,-86.147857,NULL
University of Indianapolis,46227-3697,39.709671,-86.134747,550
Indiana Institute of Technology,46803-1228,41.078338,-85.11795,510
University of Southern Indiana,47712,37.966188,-87.67666,550
Indiana State University,47809,39.46873,-87.407085,510
Indiana University-Kokomo,46904-9003,40.459913,-86.132096,520
Indiana University-South Bend,46634-7111,41.665746,-86.222958,520
Indiana University-Bloomington,47405-7000,39.166383,-86.526904,630
Indiana University-Northwest,46408-1197,41.556723,-87.338457,510
Indiana University-Southeast,47150,38.342992,-85.819376,530
Indiana University-East,47374-1289,39.867099,-84.886187,510
International Business College-Fort Wayne,46804-7145,41.035246,-85.25934,NULL
International Business College-Indianapolis,46256-3954,39.885628,-86.041648,NULL
ITT Technical Institute-Nashville,37214-3717,36.147005,-86.663047,NULL
ITT Technical Institute-Fort Wayne,46825,41.170328,-85.106441,NULL
ITT Technical Institute-Indianapolis,46268-1119,39.924786,-86.223038,NULL
J Everett Light Career Center,46240,39.90965,-86.128056,NULL
Knox Beauty College,46534,41.287883,-86.619527,NULL
Tricoci University of Beauty Culture-Lafayette,47901,40.41982,-86.887653,NULL
Brown Mackie College-Merrillville,46410,41.473702,-87.326134,NULL
Brown Mackie College-Michigan City,46360-7362,41.681625,-86.896998,NULL
Empire Beauty School-Indianapolis,46237-3249,39.666467,-86.100614,NULL
Lincoln College of Technology-Indianapolis,46268,39.688509,-86.165937,NULL
Manchester University,46962,41.011609,-85.758762,540
Marian University,46222-1997,39.81534,-86.204599,560
Indiana Wesleyan University-Marion,46953-4974,40.518495,-85.661991,590
Martin University,46218-0567,39.79844,-86.104771,NULL
Masters of Cosmetology College,46809-1305,41.051279,-85.161628,NULL
Anabaptist Mennonite Biblical Seminary,46517-1999,41.656093,-85.972222,NULL
Merrillville Beauty College,46410,41.49617,-87.336642,NULL
Brown Mackie College-South Bend,46635,41.71037,-86.2053,NULL
Mid-America College of Funeral Service,47130,38.310919,-85.744342,NULL
West Michigan College of Barbering and Beauty,49008,42.259724,-85.590152,NULL
University of Notre Dame,46556,41.703058,-86.238959,750
Oakland City University,47660-1099,38.339606,-87.351611,530
PJ's College of Cosmetology-Richmond,47374,39.830803,-84.889518,NULL
Purdue University-Calumet Campus,46323-2094,41.584742,-87.47376,530
Purdue University-North Central Campus,46391-9542,41.583788,-86.89523,530
Ravenscroft Beauty College,46835,41.12233,-85.047051,NULL
Rogers Academy of Hair Design,47712,37.983398,-87.609971,NULL
Rose-Hulman Institute of Technology,47803-3920,39.480946,-87.32357,660
Rudae's School of Beauty Culture-Kokomo,46901-4516,40.491296,-86.132711,NULL
University of Saint Francis-Fort Wayne,46808-3994,41.087772,-85.173694,530
Saint Josephs College,47978-0870,40.917186,-87.155026,550
Saint Mary-of-the-Woods College,47876-1099,39.510543,-87.460126,540
Saint Mary's College,46556,41.707274,-86.256947,610
Brightwood College-Hammond,46324,41.5708,-87.474172,NULL
Saint Meinrad School of Theology,47577,38.166046,-86.810417,NULL
Saint Elizabeth School of Nursing,47904-2198,40.42624,-86.88081,520
Taylor University,46989-1001,40.458382,-85.496906,630
Trine University,46703-1764,41.633389,-85.005696,560
Valparaiso University,46383,41.463176,-87.045853,600
Vincennes Beauty College,47591,38.679524,-87.532858,NULL
Vincennes University,47591,38.686861,-87.523106,NULL
Wabash College,47933-0352,40.037799,-86.905809,600
Allen College,50703-1999,42.531427,-92.338018,NULL
AIB College of Business,50321-1799,41.561953,-93.645694,NULL
Briar Cliff University,51104,42.526919,-96.42696,520
Buena Vista University,50588,42.642529,-95.208053,480
Capri College-Dubuque,52004-0873,42.497443,-90.665345,NULL
Capri College-Cedar Rapids,52404,41.9607,-91.71027,NULL
American College of Hairstyling-Cedar Rapids,52402,41.967378,-91.733905,NULL
Central College,50219,41.400236,-92.918664,535
Clarke University,52001-3198,42.508619,-90.691512,528
Coe College,52402-5092,41.986383,-91.657535,645
Cornell College,52314-1098,41.925982,-91.425435,680
Iowa School of Beauty-Marshalltown,50158,42.014681,-92.913104,NULL
Des Moines Area Community College,50023-3993,41.707348,-93.611597,NULL
Divine Word College,52045,42.441572,-90.934917,NULL
Dordt College,51250-1697,43.08396,-96.166319,590
Drake University,50311-4505,41.60381,-93.654062,640
University of Dubuque,52001,42.498027,-90.693568,490
Ellsworth Community College,50126,42.527524,-93.265853,NULL
Emmaus Bible College,52001-3096,42.509041,-90.705921,578
Eastern Iowa Community College District,52801-1221,41.52028,-90.577164,NULL
Faith Baptist Bible College and Theological Seminary,50023-2152,41.736338,-93.624208,550
Faust Institute of Cosmetology-Storm Lake,50588,42.655239,-95.20077,NULL
Graceland University-Lamoni,50140,40.615966,-93.924893,470
Grand View University,50316,41.620909,-93.605016,490
Grinnell College,50112-1690,41.747048,-92.721246,740
Kaplan University-Mason City Campus,50401,43.149545,-93.238504,NULL
Kaplan University-Cedar Rapids Campus,52404,41.949597,-91.713507,NULL
Hamilton Technical College,52807,41.573888,-90.560088,NULL
Hawkeye Community College,50701,42.430003,-92.330633,NULL
American Hair Academy,52641,40.96244,-91.525508,NULL
Indian Hills Community College,52501,41.045105,-92.394736,NULL
Iowa Central Community College,50501,42.489821,-94.201408,NULL
Iowa Lakes Community College,51334-2295,43.401728,-94.83577,NULL
UnityPoint Health-Des Moines School of Radiologic Technology,50309-1453,41.590094,-93.635129,NULL
American College of Hairstyling-Des Moines,50309,41.592188,-93.610649,NULL
Iowa School of Beauty-Des Moines,50322-3203,41.624599,-93.712317,NULL
Iowa State University,50011-2030,42.026368,-93.648353,630
Iowa Wesleyan University,52641,40.973689,-91.552588,NULL
Iowa Western Community College,51503-1057,41.274137,-95.801053,NULL
University of Iowa,52242-1316,41.660695,-91.535698,620
Kirkwood Community College,52406-2068,41.911268,-91.651172,NULL
La James International College-Cedar Falls,50613,42.513781,-92.428555,NULL
La James International College-Johnston,50131,41.660739,-93.737831,NULL
La James College of Hairstyling and Cosmetology,50401-3308,43.153636,-93.200593,NULL
La James International College-Ft Dodge,50501,42.500499,-94.163856,NULL
Loras College,52004-0178,42.504131,-90.680232,568
Luther College,52101-1045,43.313584,-91.803971,610
Maharishi University of Management,52557,41.017781,-91.967306,NULL
Marshalltown Community College,50158,42.00065,-92.909411,NULL
Mercy College of Health Sciences,50309-1239,41.59432,-93.626251,NULL
Morningside College,51106-1751,42.47324,-96.360738,530
Mount Mercy University,52402-4797,42.001931,-91.650991,NULL
Ashford University,92123,32.8273,-117.141961,NULL
North Iowa Area Community College,50401,43.157598,-93.131683,NULL
University of Northern Iowa,50614-0005,42.514923,-92.459703,615
Northwestern College,51041,42.998955,-96.058382,600
Northeast Iowa Community College,52132-0400,43.174954,-91.865647,NULL
Northwest Iowa Community College,51201,43.184603,-95.878781,NULL
Des Moines University-Osteopathic Medical Center,50312,41.583325,-93.661686,NULL
Iowa School of Beauty-Ottumwa,52501,41.023103,-92.417962,NULL
Palmer College of Chiropractic,52803-5287,41.529021,-90.574607,NULL
PCI Academy-Ames,50010,41.99767,-93.613611,NULL
Saint Ambrose University,52803-2898,41.540081,-90.58098,NULL
St Luke's College,51104-0263,42.517806,-96.404922,NULL
La James International College-Davenport,52806,41.573987,-90.5726,NULL
La James International College-Iowa City,52245,41.663776,-91.532238,NULL
Simpson College,50125,41.365503,-93.563471,NULL
Southeastern Community College,52655-0180,40.814726,-91.172394,NULL
Southwestern Community College,50801,41.073437,-94.380906,NULL
Capri College-Davenport,52807-3003,41.574837,-90.539206,NULL
Iowa School of Beauty-Sioux City,51106,42.443573,-96.369994,NULL
E Q School of Hair Design,51503,41.261088,-95.851059,NULL
Upper Iowa University,52142-1857,42.840293,-91.799663,NULL
Waldorf College,50436-1713,43.262203,-93.640034,490
Wartburg College,50677-0903,42.727629,-92.480933,580
Wartburg Theological Seminary,52003-7769,42.485197,-90.691098,NULL
College of Hair Design,50703-4734,42.478333,-92.323842,NULL
Western Iowa Tech Community College,51102-5199,42.482953,-96.348874,NULL
William Penn University,52577,41.308868,-92.648348,NULL
Allen County Community College,66749,37.937698,-95.39681,NULL
Baker University,66006-0065,38.777278,-95.188231,525
Barton County Community College,67530,38.40331,-98.731697,NULL
Benedictine College,66002-1499,39.572953,-95.111424,645
Bethany College,67456-1897,38.5786,-97.673173,470
Bethel College-North Newton,67117-1716,38.07525,-97.342572,435
Brown Mackie College-Kansas City,66215,38.952947,-94.734296,NULL
Brown Mackie College-Salina,67401-7307,38.839827,-97.609673,NULL
Bryan University,66604,39.038738,-95.74372,NULL
Butler Community College,67042-3280,37.806377,-96.882718,NULL
Central Baptist Theological Seminary,66226-3513,39.009412,-94.838449,NULL
Central Christian College of Kansas,67460-5740,38.357964,-97.667373,500
Cloud County Community College,66901-1002,39.554199,-97.664147,NULL
Coffeyville Community College,67337-5064,37.033814,-95.621374,NULL
Colby Community College,67701,39.378022,-101.051298,NULL
Cowley County Community College,67005,37.061918,-97.041936,NULL
Marinello Schools of Beauty-Manhattan,66502,39.179536,-96.563855,NULL
Dodge City Community College,67801-2399,37.777838,-100.037275,NULL
Donnelly College,66102,39.112227,-94.65103,NULL
Emporia State University,66801-5415,38.414106,-96.18014,495
Flint Hills Technical College,66801-5957,38.420955,-96.223623,NULL
Fort Hays State University,67601-4099,38.872436,-99.340493,NULL
Barclay College,67059-0288,37.620691,-99.104027,NULL
Friends University,67213,37.678495,-97.366666,560
Fort Scott Community College,66701,37.816192,-94.715966,NULL
Garden City Community College,67846-6333,37.970979,-100.847357,NULL
Haskell Indian Nations University,66046-4800,38.937786,-95.232513,500
Hays Academy of Hair Design,67601,38.872,-99.331018,NULL
Hesston College,67062-2093,38.134487,-97.433266,NULL
Highland Community College,66035-4165,39.860287,-95.272556,NULL
Hutchinson Community College,67501,38.066843,-97.919647,NULL
Independence Community College,67301-0708,37.195614,-95.720518,NULL
Johnson County Community College,66210-1299,38.923775,-94.730614,NULL
Concorde Career College-Kansas City,64111-2407,39.068592,-94.590066,NULL
Kansas City Kansas Community College,66112,39.121911,-94.748061,NULL
Kansas Christian College,66204-1975,38.995081,-94.667646,NULL
University of Kansas,66045,38.958551,-95.247618,NULL
Newman University,67213-2097,37.672306,-97.378803,550
Old Town Barber College-Wichita,67211-1605,37.6858,-97.323367,NULL
Kansas State University,66506,39.188616,-96.581077,NULL
Kansas Wesleyan University,67401-6196,38.813923,-97.609476,550
Washburn Institute of Technology,66604-2117,39.046113,-95.749789,NULL
La Baron Hairdressing Academy-Overland Park,66204,38.981813,-94.675845,NULL
Labette Community College,67357-4201,37.339062,-95.255368,NULL
Manhattan Area Technical College,66503-2499,39.197774,-96.615672,NULL
Manhattan Christian College,66502-4801,39.185764,-96.579018,NULL
McPherson College,67460-1402,38.371464,-97.6443,510
MidAmerica Nazarene University,66062-1899,38.872608,-94.782586,490
Neosho County Community College,66720,37.670021,-95.464707,NULL
North Central Kansas Technical College,67420,39.481634,-98.110914,NULL
Northwest Kansas Technical College,67735,39.346424,-101.70022,NULL
Ottawa University-Ottawa,66067-3399,38.602899,-95.263776,NULL
Ottawa University-Kansas City,66211,38.930925,-94.68937,NULL
Pittsburg State University,66762,37.3913,-94.704782,NULL
Pratt Community College,67124,37.65394,-98.713959,NULL
University of Saint Mary,66048-5082,39.277308,-94.906935,530
Salina Area Technical College,67401,38.793775,-97.637923,NULL
Seward County Community College and Area Technical School,67901,37.059807,-100.917695,NULL
Sidneys Hair Dressing College,67501,38.057048,-97.91256,NULL
Southwestern College,67156-6224,37.2493,-96.9783,470
Sterling College,67579,38.219783,-98.209966,530
Tabor College,67063-1799,38.348606,-97.20096,550
Washburn University,66621-0001,39.034977,-95.702325,NULL
Wichita Area Technical College,67226,37.75892,-97.221861,NULL
Wichita State University,67260-0124,37.716484,-97.296733,NULL
Wichita Technical Institute,67213-1927,37.656976,-97.371819,NULL
Alice Lloyd College,41844,37.335087,-82.875068,470
Asbury University,40390-1198,37.862029,-84.662606,628
Asbury Theological Seminary,40390-1199,37.863704,-84.661862,NULL
Ashland Community and Technical College,41101-3683,38.469201,-82.650664,NULL
Barrett and Company School of Hair Design,40356-2152,37.866379,-84.579948,NULL
Bellarmine University,40205-0671,38.219138,-85.7049,590
Berea College,40404-2182,37.573334,-84.289332,603
PJ's College of Cosmetology-Bowling Green,42101,36.979878,-86.467746,NULL
Southcentral Kentucky Community and Technical College,42101-3601,36.984827,-86.476717,NULL
Brescia University,42301-3023,37.768989,-87.111533,480
Campbellsville University,42718-2799,37.343342,-85.348943,520
Bluegrass Community and Technical College,40506,38.024467,-84.502338,NULL
Centre College,40422-1394,37.645102,-84.779175,660
Clear Creek Baptist Bible College,40977-9752,36.725236,-83.727702,NULL
Paul Mitchell the School-Lexington,40514,37.980117,-84.551363,NULL
Collins School of Cosmetology,40965,36.605544,-83.7152,NULL
Galen College of Nursing-Louisville,40207,38.27732,-85.697564,NULL
University of the Cumberlands,40769,36.736489,-84.162375,530
Eastern Kentucky University,40475-3102,37.740396,-84.301356,560
Elizabethtown Community and Technical College,42701-3081,37.703066,-85.861419,NULL
Frontier Nursing University,41749,37.16363,-83.376447,NULL
Georgetown College,40324-1696,38.207934,-84.554583,580
PJ's College of Cosmetology-Glasgow,42141,37.01038,-85.923119,NULL
Hazard Community and Technical College,41701-2402,37.233812,-83.174535,NULL
Paul Mitchell the School-Louisville,40222,38.24939,-85.578349,NULL
Henderson Community College,42420-4699,37.797687,-87.650091,NULL
Hopkinsville Community College,42240,36.886072,-87.491623,NULL
Daymar College-Paducah Main,42001-8252,37.067612,-88.632439,NULL
Jefferson Community and Technical College,40202-2005,38.247469,-85.753487,NULL
Jenny Lea Academy of Cosmetology,40831,36.847296,-83.323659,NULL
Summit Salon Academy-Lexington,40505,38.02873,-84.453521,NULL
American National University-Lexington,40509,38.028845,-84.419122,NULL
Kentucky Mountain Bible College,41339,37.604308,-83.43771,NULL
Kentucky State University,40601-2355,38.201056,-84.855488,480
Kentucky Wesleyan College,42301,37.744667,-87.121984,505
University of Kentucky,40506-0032,38.035818,-84.505653,620
Kentucky Christian University,41143-1199,38.339002,-82.946883,550
Lexington Theological Seminary,40503,37.99638,-84.525601,NULL
Lindsey Wilson College,42728-1223,37.101853,-85.299909,NULL
Sullivan College of Technology and Design,40218,38.200292,-85.688469,NULL
University of Louisville,40292-0001,38.215752,-85.758843,620
Louisville Presbyterian Theological Seminary,40205-1798,38.236941,-85.685726,NULL
Madisonville Community College,42431,37.362661,-87.512137,NULL
Maysville Community and Technical College,41056,38.627026,-83.805641,NULL
Midway University,40347-1120,38.144432,-84.679335,NULL
Morehead State University,40351,38.188462,-83.429742,535
Murray State University,42071-3318,36.61241,-88.323493,550
Gateway Community and Technical College,41042,38.96132,-84.632911,NULL
Northern Kentucky University,41099,39.029221,-84.465959,560
Nutek Academy of Beauty Inc,40353,38.075504,-83.949364,NULL
Daymar College-Owensboro,42301,37.737809,-87.143786,NULL
West Kentucky Community and Technical College,42002-7380,37.054081,-88.658762,NULL
Pat Wilson's Beauty College,42420,37.842152,-87.590395,NULL
University of Pikeville,41501,37.478835,-82.520265,480
Big Sandy Community and Technical College,41653,37.687585,-82.77839,NULL
Brown Mackie College-Louisville,40219,38.157272,-85.696715,NULL
Empire Beauty School-Chenoweth,40207,38.255692,-85.657718,NULL
Saint Catharine College,40061,37.708833,-85.261372,NULL
Empire Beauty School-Elizabethtown,42701,37.700034,-85.880054,NULL
Empire Beauty School-Dixie,40216,38.167059,-85.830866,NULL
Empire Beauty School-Florence,41042,39.011018,-84.627357,NULL
Brown Mackie College-Northern Kentucky,41017,39.041923,-84.571708,NULL
Somerset Community College,42501-2973,37.059599,-84.617546,NULL
Southeast Kentucky Community and Technical College,40823,36.971339,-82.994863,NULL
Spalding University,40203-2188,38.2415,-85.758851,520
Spencerian College-Louisville,40216,38.17609,-85.821198,NULL
Sullivan University,40205-3013,38.212824,-85.670489,NULL
Thomas More College,41017-3495,39.022963,-84.568923,520
Transylvania University,40508-1797,38.053236,-84.493883,640
Trend Setters' Academy of Beauty Culture-Louisville,40258,38.146034,-85.837659,NULL
Union College,40906-1499,36.869066,-83.887982,NULL
Western Kentucky University,42101-1000,36.985718,-86.455898,560
Central Louisiana Technical Community College,71302-3137,31.25956,-92.445044,NULL
American School of Business,71105-5646,32.414975,-93.724963,NULL
Ayers Career College,71118,32.418291,-93.798229,NULL
Baton Rouge General Medical Center-School of Nursing,70806,30.449731,-91.152773,NULL
Baton Rouge General Medical Center-School of Radiologic Technology,70806,30.44787,-91.153581,NULL
Baton Rouge School of Computers,70809,30.427256,-91.070821,NULL
Capital Area Technical College,70805,30.477587,-91.155405,NULL
Bossier Parish Community College,71111-6922,32.539551,-93.646881,NULL
Cameron College,70119,29.965586,-90.088158,NULL
Centenary College of Louisiana,71134-1188,32.483004,-93.731518,580
Cloyd's Beauty School 1 Inc,71291-0603,32.499877,-92.126977,NULL
Crescent City Bartending School,70119,29.966614,-90.086573,NULL
D'Jay's School of Beauty Arts and Sciences,70815,30.462232,-91.071568,NULL
Delgado Community College,70119,29.985149,-90.103962,NULL
Delta School of Business and Technology,70601,30.228743,-93.214285,NULL
Demmons School of Beauty,70607,30.222689,-93.21874,NULL
Denham Springs Beauty School,70726,30.484636,-90.944774,NULL
Dillard University,70122,29.996468,-90.065348,500
Nunez Community College,70043,29.95419,-89.95888,NULL
Grambling State University,71245,32.522702,-92.717367,490
Guy's Shreveport Academy of Cosmetology Inc,71105,32.483496,-93.705504,NULL
ITI Technical College,70817,30.36782,-91.026082,NULL
John Jay Beauty College,70124,30.01925,-90.107891,NULL
John Jay Beauty College,70062,30.00734,-90.230327,NULL
Louisiana State University Health Sciences Center-New Orleans,70112-2223,29.957272,-90.083145,NULL
Louisiana State University-Alexandria,71302-9121,31.178616,-92.414409,500
Louisiana State University and Agricultural & Mechanical College,70803-2750,30.414983,-91.178921,600
Louisiana State University-Eunice,70535,30.473292,-92.434523,NULL
Louisiana State University-Shreveport,71115-2399,32.428768,-93.703762,NULL
Aveda Institute-Baton Rouge,70816-2246,30.425546,-91.053805,NULL
Aveda Institute-Lafayette,70503-3246,30.206168,-92.042092,NULL
Louisiana Academy of Beauty,70535,30.49566,-92.41062,NULL
Louisiana College,71359,31.322286,-92.425567,NULL
Opelousas School of Cosmetology,70570,30.531104,-92.078121,NULL
Louisiana Tech University,71272,32.525518,-92.64964,570
Loyola University New Orleans,70118-6143,29.936141,-90.120417,630
McNeese State University,70605,30.180762,-93.215648,540
University of New Orleans,70148,30.028539,-90.068506,630
Nicholls State University,70310,29.792689,-90.802906,550
University of Louisiana at Monroe,71209-0000,32.527957,-92.073855,NULL
Northwest Louisiana Technical College,71055-0000,32.586426,-93.269351,NULL
Notre Dame Seminary Graduate School of Theology,70118-4391,29.958077,-90.114185,NULL
Northwestern State University of Louisiana,71497-0002,31.750675,-93.097715,540
University of Holy Cross,70131-7399,29.912539,-89.997055,NULL
Our Lady of the Lake College,70808,30.40019,-91.110471,NULL
Pat Goins Benton Road Beauty School,71111,32.516132,-93.71635,NULL
Celebrity Stylist Beauty School,71201-5135,32.522115,-92.086177,NULL
Pat Goins Ruston Beauty School,71270,32.528018,-92.639693,NULL
Pineville Beauty School,71360-0000,31.325645,-92.43115,NULL
Aveda Institute-Covington,70433,30.494047,-90.104224,NULL
Saint Joseph Seminary College,70457,30.526778,-90.113621,NULL
Vanguard College of Cosmetology-Slidell,70458-0458,30.228064,-89.778542,NULL
South Louisiana Beauty College,70363,29.592736,-90.696282,NULL
Fletcher Technical Community College,70395,29.690912,-90.812657,NULL
Remington College-Lafayette Campus,70508,30.168681,-92.023791,NULL
SOWELA Technical Community College,70616,30.217331,-93.16252,NULL
Stevensons Academy of Hair Design,70114,29.948489,-90.052369,NULL
Southeastern Louisiana University,70402,30.51358,-90.468558,NULL
Southern University and A & M College,70813,30.524558,-91.190105,NULL
Southern University at New Orleans,70126,30.02669,-90.044379,480
Southern University at Shreveport,71107,32.545632,-93.834559,NULL
University of Louisiana at Lafayette,70503,30.215283,-92.01941,590
Northshore Technical Community College,70427,30.759099,-89.845279,NULL
Tulane University of Louisiana,70118-5698,29.939696,-90.120409,710
Xavier University of Louisiana,70125-1098,29.964162,-90.107307,550
South Central Louisiana Technical College,70380,29.690728,-91.197848,NULL
Kaplan University-Maine Campus,04106-2415,43.689847,-70.271145,NULL
College of the Atlantic,4609,44.399584,-68.228849,NULL
Bates College,4240,44.105299,-70.203333,NULL
Beal College,4401,44.785249,-68.780752,NULL
Bowdoin College,4011,43.906902,-69.965241,NULL
Maine College of Health Professions,4240,44.100474,-70.217692,530
Central Maine Community College,04210-6498,44.134346,-70.235498,NULL
Colby College,04901-8840,44.564211,-69.66337,710
Eastern Maine Community College,4401,44.826048,-68.74445,NULL
Husson University,04401-2999,44.828888,-68.791323,520
Kennebec Valley Community College,04937-1367,44.594292,-69.611609,NULL
The Landing School,4046,43.380523,-70.503498,NULL
University of Maine at Augusta,04330-9410,44.337746,-69.796396,NULL
University of Maine at Farmington,04938-9978,44.668,-70.147469,NULL
University of Maine at Fort Kent,04743-1292,47.250306,-68.588364,490
University of Maine at Machias,04654-1397,44.709895,-67.456534,NULL
University of Maine,4469,44.895129,-68.67358,590
Maine Maritime Academy,04420-0001,44.3873,-68.803214,550
University of Maine at Presque Isle,04769-2888,46.672377,-68.016516,NULL
University of New England,04005-9599,43.458172,-70.385882,580
Northern Maine Community College,04769-2016,46.694668,-68.034796,NULL
Empire Beauty School-Maine,4101,43.667885,-70.258154,NULL
Maine College of Art,04101-3494,43.653672,-70.26195,NULL
Saint Joseph's College of Maine,04084-5236,43.82651,-70.483486,530
Spa Tech Institute-Westbrook,4092,43.67659,-70.335331,NULL
Southern Maine Community College,04106-1698,43.647335,-70.228098,NULL
University of Southern Maine,4103,43.662637,-70.276002,560
Thomas College,04901-5097,44.524046,-69.662923,NULL
Unity College,4988,44.603165,-69.332276,NULL
Washington County Community College,4619,45.165537,-67.243306,NULL
Aaron's Academy of Beauty,20602,38.611356,-76.901993,NULL
Aesthetics Institute of Cosmetology,20877,39.15351,-77.204631,NULL
Allegany College of Maryland,21502-2596,39.652658,-78.729766,NULL
Anne Arundel Community College,21012-1895,39.049813,-76.512223,NULL
Brightwood College-Towson,21286-2201,39.401822,-76.572434,NULL
Award Beauty School,21740-5610,39.640443,-77.720283,NULL
Baltimore Studio of Hair Design,21201-3444,39.293472,-76.620034,NULL
Baltimore City Community College,21215-7893,39.319978,-76.662878,NULL
University of Baltimore,21201-5720,39.305834,-76.616591,520
Bowie State University,20715-9465,39.018185,-76.759721,480
Capitol Technology University,20708,39.047047,-76.851413,600
Cecil College,21901-1999,39.642225,-75.955949,NULL
College of Southern Maryland,20646-0910,38.559648,-77.009328,NULL
Chesapeake College,21679-0008,38.95178,-76.083118,NULL
Washington Adventist University,20912,38.987206,-77.00131,480
Coppin State University,21216-3698,39.310786,-76.658547,470
Delmarva Beauty Academy,21804-6952,38.338692,-75.599933,NULL
North American Trade Schools,21244,39.309503,-76.749362,NULL
Frederick Community College,21702-2964,39.452241,-77.417849,NULL
Frostburg State University,21532-1099,39.651509,-78.933871,540
Garrett College,21541,39.560658,-79.343267,NULL
Goucher College,21204-2794,39.410175,-76.594843,NULL
Kaplan University-Hagerstown Campus,21742,39.672993,-77.722485,NULL
Hagerstown Community College,21742-6514,39.631009,-77.667379,NULL
Harford Community College,21015-1698,39.561347,-76.281801,NULL
Hood College,21701,39.421908,-77.419282,NULL
Howard Community College,21044-3197,39.211569,-76.87843,NULL
The Colorlab Academy of Hair,21014-3639,39.531933,-76.349927,NULL
Johns Hopkins University,21218-2688,39.32838,-76.620799,740
L'Academie de Cuisine,20877-1414,39.118218,-77.190202,NULL
Lincoln College of Technology-Columbia,21046,39.177286,-76.83037,NULL
Loyola University Maryland,21210-2699,39.346044,-76.623417,NULL
Maryland Beauty Academy,21136-2331,39.457472,-76.820171,NULL
